k_p_MZ-AE,k_p_Without-Memory,k_p_DNS,k
1345.931099,549.3342832,1295.42601,0.1
3.94E-05,1.51E-06,4.08E-25,0
1345.931099,549.3342832,1295.42601,0.285599332
10039.37075,1724.575399,10046.59471,0.571198664
7015.545353,645.468125,7544.282579,0.856797996
3539.266342,3211.109681,3455.55334,1.142397329
487.2455155,73.16087369,502.9403743,1.427996661
146.0730213,17.26393375,165.7564306,1.713595993
24.11464891,1.581823562,21.67976541,1.999195325
4.114895467,0.402862294,4.720047678,2.284794657
0.649095049,0.004385578,0.729038284,2.570393989
0.107973843,0.004115035,0.111979705,2.855993321
0.013721417,0.002379901,0.017093485,3.141592654
0.001793946,3.41E-05,0.002662281,3.427191986
0.00033296,0.0001702,0.000373248,3.712791318
7.34E-05,1.48E-05,5.12E-05,3.99839065
5.28E-05,5.10E-05,8.17E-06,4.283989982
6.52E-05,1.02E-05,1.03E-06,4.569589314
3.81E-05,0.000203448,1.45E-07,4.855188646
4.18E-05,0.000154061,2.12E-08,5.140787979
4.17E-05,0.000157808,2.81E-09,5.426387311
5.29E-05,0.000104004,3.66E-10,5.711986643
5.16E-05,1.59E-05,5.36E-11,5.997585975
4.72E-05,1.99E-05,7.17E-12,6.283185307
5.73E-05,0.000230333,8.94E-13,6.568784639
3.99E-05,4.44E-05,1.33E-13,6.854383971
5.44E-05,0.000126015,1.72E-14,7.139983304
4.01E-05,3.82E-05,2.22E-15,7.425582636
5.02E-05,3.59E-05,3.10E-16,7.711181968
6.95E-05,0.000109011,4.19E-17,7.9967813
5.70E-05,0.000107286,5.24E-18,8.282380632
6.12E-05,5.63E-05,7.30E-19,8.567979964
3.91E-05,0.000347551,9.90E-20,8.853579296
